# s,epsilon,beta,v
7.117647058823528106e+00,5.362996680264101035e-02,3.525338017915442129e-02,3.222609746009395870e+00
9.307692307692304823e+00,1.092916415629822252e-01,1.005245880398409231e+00,1.602188889037135411e+01
6.320940274403652914e+00,1.141030494399311312e-01,2.077990635182468182e+00,2.149787796974649368e+01
3.139634299633726200e-01,3.126827537470499241e+00,4.186677539241752122e+00,4.090776016832933237e+01
