# alpha,beta
4.953903959242409449e-01,3.525338017915442129e-02
5.114164563526888418e-01,1.005245880398409231e+00
3.505252102759288668e-01,2.077990635182468182e+00
2.482132278312738638e-01,4.186677539241752122e+00
