# s,epsilon,beta,v
7.117647058823528106e+00,1.392436009555446386e-01,3.525338017915442129e-02,3.222609746009395870e+00
9.307681163610475039e+00,1.128247992911712294e-01,1.005245880398409231e+00,1.602188889037135411e+01
6.320938821352489079e+00,1.141030758247519455e-01,2.077990635182468182e+00,2.149787796974649368e+01
3.139634299614676438e-01,3.126827537522924416e+00,4.186677539241752122e+00,4.090776016832933237e+01
