new_filename,original_filename,kinematics,engagement_distance_threshold,engagement_time_threshold,n_trials,trial_order,bounding_box,exp_condition,real_fish_fps_avg,virtual_fish_fps_avg,pixel_to_mm
60525_exp5,60525/vid_5,v2',80,1.0,11,[2 1 5 1 5 3 4 3 2 4],"[[152, 150], [718, 147], [716, 695], [171, 710]]",kinematics_v2_engagement_threshold_1,50.451764111174604,29.995859879227893,0.5046696007803395
60525_exp10,60525/vid_10,v2',80,1.0,11,[4 1 3 3 5 1 2 2 4 5],"[[153, 149], [720, 146], [717, 691], [170, 709]]",kinematics_v2_engagement_threshold_1,50.44778217155273,29.9871684919138,0.504675748932077
60525_exp13,60525/vid_13,v2',80,1.0,11,[3 5 3 1 1 5 4 2 2 4],"[[152, 150], [717, 143], [716, 692], [169, 710]]",kinematics_v2_engagement_threshold_1,50.355995071409815,29.99472544179295,0.5041960493716409
81925_exp12,81925/vid_12,v2',80,1.0,11,[3 4 3 2 4 5 1 1 2 5],"[[154, 149], [716, 145], [715, 688], [167, 707]]",kinematics_v2_engagement_threshold_1,50.49023476733483,29.99680984282734,0.5065051241840971
81925_exp7,81925/vid_7,v2',80,1.0,11,[2 4 3 5 4 2 5 3 1 1],"[[153, 148], [717, 145], [712, 689], [165, 704]]",kinematics_v2_engagement_threshold_1,50.51827559071146,29.993481790069303,0.5065382760593666
81925_exp9,81925/vid_9,v2',80,1.0,11,[2 3 1 4 5 5 2 1 3 4],"[[150, 145], [714, 140], [714, 688], [165, 703]]",kinematics_v2_engagement_threshold_1,50.317260689883135,29.99761557127448,0.504672879766637
81925_exp11,81925/vid_11,v2',80,1.0,11,[5 4 2 3 1 4 2 5 3 1],"[[153, 149], [715, 144], [714, 689], [166, 703]]",kinematics_v2_engagement_threshold_1,43.32592805847917,29.99869466546625,0.5069756607555232
81925_exp4,81925/vid_4,v2',80,1.0,11,[1 4 5 2 3 2 1 3 5 4],"[[152, 148], [716, 143], [711, 687], [166, 705]]",kinematics_v2_engagement_threshold_1,45.96076729056271,29.993090967077624,0.5067476976206584
81925_exp2,81925/vid_2,v2',80,1.0,11,[5 1 2 3 5 4 4 3 1 2],"[[149, 146], [716, 142], [713, 692], [164, 706]]",kinematics_v2_engagement_threshold_1,50.50462005392657,29.98205899925256,0.503102621274673
81925_exp1,81925/vid_1,v2',80,1.0,11,[1 4 2 1 3 3 5 2 5 4],"[[151, 148], [720, 146], [714, 690], [163, 711]]",kinematics_v2_engagement_threshold_1,50.36366891630853,29.95703487709839,0.5028993068982864
81925_exp3,81925/vid_3,v2',80,1.0,11,[1 2 2 3 4 3 4 5 5 1],"[[152, 148], [715, 143], [712, 686], [166, 703]]",kinematics_v2_engagement_threshold_1,50.54800696871187,29.993429140124917,0.5074320948666715
81925_exp8,81925/vid_8,v2',80,1.0,11,[2 5 2 3 1 3 4 5 1 4],"[[153, 149], [717, 143], [714, 687], [166, 703]]",kinematics_v2_engagement_threshold_1,50.51353410146951,29.99212526489502,0.5067518472053512
81925_exp5,81925/vid_5,v2',80,1.0,11,[5 1 1 3 4 2 2 3 4 5],"[[153, 150], [717, 145], [712, 688], [167, 704]]",kinematics_v2_engagement_threshold_1,50.4802285558528,29.999015027308552,0.5076743342638301
81925_exp10,81925/vid_10,v2',80,1.0,11,[2 4 5 4 3 3 1 5 1 2],"[[150, 145], [718, 145], [714, 690], [165, 704]]",kinematics_v2_engagement_threshold_1,50.036583235642304,29.992747014202084,0.504254506007988
81925_exp6,81925/vid_6,v2',80,1.0,11,[2 2 4 5 5 4 1 3 1 3],"[[151, 148], [715, 147], [713, 688], [168, 703]]",kinematics_v2_engagement_threshold_1,50.44513536883535,29.99351442830267,0.5078951950308072
81325_exp12,81325/vid_12,v2',80,1.0,11,[3 2 4 5 1 3 2 4 1 5],"[[157, 145], [721, 145], [714, 692], [164, 708]]",kinematics_v2_engagement_threshold_1,50.440263467239966,30.001011260255147,0.5035979368277136
